tanggal,suka,komentar
2025-09-06 12:30:22,1,"metode pembayaran nya hrs nya LBH bnyak LG kaya dana,ovo,gopay,shoope pay.dan virtual account nya jgn cm bank BJB doang dong. bayar pajak nya online.ngambil cetak STNK nya di Samsat jg.sama ja bohong dong🤣KLO BS sih STNK nya digital nya BS di cetak sndiri."
2025-09-06 10:52:51,0,apk gx ad manfaat nya bikin aduan berbulan bulan gx ada kemajuan hanya sampai ke spa4nlapor & permasalah yg di adukan gx beres2 malah makin rumit
2025-09-06 10:14:24,0,"seperti biasa, aplikasi pemerintahmah gada yg benerr... ini mau daftar aja gagal terus, pea.. mau buat akun gagal,udh isi data diri,gagal juga.."
2025-09-06 03:10:00,0,mudah bayar pajak
2025-09-05 13:26:45,0,good
2025-09-05 12:12:10,0,lebih buruk dari yang dulu
2025-09-04 14:22:23,0,bagus
2025-09-04 11:15:13,0,setelah byar pajak dokumen skkp nya tidak bisa di download padahal mau saya print.. lokasi saya jauh padahal plat Jabar... haruskah menunggu saya pulkam dahulu...🥵🥵
2025-09-03 16:31:24,0,susahnya mau bayar pajak aja di persulit jngn bayar pajak aja gitu?
2025-09-03 15:33:55,1,"sebetulnya udh bagus, tapi masih banyak bug di menu loker, mulai dari filter, profil dll khususnya di android. mohon untuk diperbaiki🙏"
2025-09-02 17:57:45,0,ok
2025-09-02 11:04:13,0,"aplikasi ga jelas, mau melengkapi data diri aja suruh tunggu sebentar di bagian kota/kabupaten tunggu sebentar sampe kiamat kali"
2025-09-01 23:23:29,0,geleh aing
2025-09-01 16:58:32,0,kenapa gk bisa d buka ya ? mau bayar ini teh
2025-08-30 09:20:15,0,gk bisa di fungsikan
2025-08-30 02:57:08,0,hari ini yuh my
2025-08-29 15:19:13,0,sangat membatu
2025-08-29 10:38:14,1,"pengaduan gk bsa trus ,internal server eror , mhon cepat diperbaiki segera"
2025-08-29 04:17:20,0,sangat membatu
2025-08-29 02:52:14,0,pengalaman untuk memberi info untuk pembayaran pajak
2025-08-28 13:20:19,0,membantu
2025-08-28 10:06:00,0,sangat berguna aplikasi ini
2025-08-27 07:01:28,0,memudahkan Saya dalam pengecekan pajak kendaraan bermotor saya
2025-08-26 23:37:48,0,cape banget asli Dari kemaren mau bayar pajak Kesalahan sistem terus Aplikasi nya eror terus
2025-08-26 23:09:02,0,"peebaiki sistem operasi nya,biar lebih nyaman"
2025-08-26 19:14:07,0,"punten lah dangdosan aplikasi teh, bade nawur pajeg teu tiasa wae ieu, kantenan nuju di luar jabar atanapi wios teuing hnteu nawur, ambih anu di luhur hnteu jojogedan"
2025-08-26 13:06:11,1,"Servernya lemot banget kayanya, menampilkan datanya lama banget, padahal pakai jaringan 5G. Tuulung tuluuuuung 🙏🏻"
2025-08-26 12:31:18,0,mantap JABAR BAPAK AING
2025-08-26 12:07:35,0,lemoootttt
2025-08-26 11:54:30,1,untuk pengisian kolom data diri dan verifikasi nya sangat lambat sekali
2025-08-26 11:39:22,2,"saya sudah mau coba apk ini tapi kenapa ini loading nya lama banget, padahal jaringan bagus, padahal udah di bantu jaringan wifi jadi pake 2 jaringan tetep aja loading nya lama aneh ini apk tolong dong d perbaiki ini"
2025-08-26 10:12:46,0,"Mohon segera diperbaiki, terutama dibagian IT nya, pas mepet mau bayar pajak kendaraan malah susah terhubung ke server, alhasil jadi telat bayar pajak, kirain apk pemerintah bisa lebih profesional"
2025-08-26 07:38:50,0,ini knp aplikasi nya susah bgt buat login.?
2025-08-26 07:10:31,0,sistem nya betulin dulu servernya susah mau bayar online pun ga konek konek
2025-08-26 06:55:31,0,apdet dong lemot banget najis
2025-08-26 06:39:21,0,lemot
2025-08-26 06:04:30,0,buat mengisi bio data lama tunggu sebentar sampai berjam jam
2025-08-26 04:57:01,0,"ga berfungsi nih, perbaiki dong"
2025-08-26 02:38:46,5,"mins nya aplikasi ini: 1.setelah bayar stnk lewat online,tida ada rekomendasi di antarkan ke alamat stnk tersebut. 2.masalah akun,di akun harus masukin dokumen sk,klw mau di perifikasi. yg jd masalah... warga jabar itu tida semua punya dokumen sk? termasuk saya,karna tidak sekolah,(maklum jmn dulu) yg akhir nya akun saya tida terperifikasi !!!?. 3.apk sering loding...?!. kalau yang lain nya sangat bagus !! tolong semua di yg atas di perbaiki...!!!"
2025-08-26 02:28:42,1,"gangguan mulu ini mau bayat pajak, gabisa terus. server eror, gajelas sumpah"
2025-08-26 01:41:11,1,"servernya sering eror/tidak merespon ,terus selalu tidak ada koneksi internet padahal wifi saya bagus dan koneksi sangat stabil"
2025-08-26 01:04:41,2,Hadeuh... mau bayar pajak online tapi apk nya lemot. Server tidak merespon... selalu begitu.. Benerin atuh... Bintangnya nanti diganti kalo udah bener..
2025-08-25 20:32:41,0,GAK BISA LOGIN COOKK
2025-08-23 16:37:03,0,app yg bagus saya dapat mengecek pajak untuk jwa barat
2025-08-23 06:39:19,11,"sangat membantu, tidak buang2 waktu lg untuk pengurusan STNK, cukup bayar online, print bukti pembayaran, dan STNK online nya, tukar di Samsat Drive thru, dan beres..."
2025-08-23 00:32:25,0,keren
2025-08-22 20:53:39,11,"aplikasi payah, daftar Siapkerja muter2 aja ga masuk juga. update profil pun sama aja udah upload dan isi data diri malah muter2 ga jelas akhirnya ga bisa dipake buat lamar pekerjaan. sinkronisasi dengan situs terkait seperti Siapkerja dan lokerku juga ga bisa. Layanan aduan live chat dari aplikasi juga susah"
2025-08-22 11:13:51,0,sy trimakasih
2025-08-22 01:46:43,0,"sangat membantu untuk kita yang sedang merantau, dan banyak kepentingan"
2025-08-20 13:49:20,0,kenapa mau bayar pajak motor selalu gagal terus? udah di coba berbagai cara pembayaran
2025-08-19 02:23:44,0,"mantap sangat membantu sekali, tinggakatkan lagi ada admin live nya min"
2025-08-18 06:48:25,0,saya tidak dapat meng-upload foto pada saat ingin melepas status kendaraan
2025-08-18 02:30:15,0,ok
2025-08-16 22:38:31,0,sangat membantu saya aplikasi luar biasa
2025-08-16 17:22:48,0,Jawa Barat istimewa
2025-08-16 08:03:07,8,"untuk data daerah seperti desa dan kecamatan masih ada yang belum terdata, di kabupaten sukabumi, kecamatan Pabuaran, opsi desa nya baru ada 6 harusnya 7 desa. desa pabuaran belum masuk data. mohon diupdate. Terimakasih"
2025-08-16 02:49:25,0,"saya sudah bayar pajak+ganti kaleng 5 tahunan,kenapa diaplikasi data saya masih belum diupdate? masih disuruh bayar..🤦🏿‍♂️"
2025-08-15 14:36:06,0,",👍"
2025-08-15 13:46:46,0,membantu
2025-08-15 01:31:36,0,pengambilan harus ada data asli.jadi sama aja kaya bayar pajak biasa.kurang memuaskan.
2025-08-14 09:24:41,0,Cepat
2025-08-13 02:31:24,0,bagus sangat membantu
2025-08-10 05:01:11,0,ok
2025-08-09 00:00:44,0,"tidak bisa buat akun atau login yeuh min,hampura"
2025-08-08 13:24:54,0,menurut saya aplikasi ini bagus dan lebih bagus lagi di buat tabungan atau transaksi dll
2025-08-08 13:18:29,0,"mantaaaaaapppp banget, setelah pa kdm jadi gubernur semua jadi gampang, saya blokir kendaraan aja cuma lewat aplikasi ini 1 hari beres mantaaappp."
2025-08-07 14:54:24,0,"sapawarga belum ada via pengiriman stnk kerumah, jadimasi pada waswas warga jabar bayarnya."
2025-08-07 01:40:37,0,lumayan buat ngecek pajak
2025-08-05 15:26:11,0,Semoga Aplikasi ini Jujur dan Bermanfaat
2025-08-05 13:46:36,0,bagus
2025-08-05 09:46:37,0,sangat membantu
2025-08-05 08:09:06,0,mayan
2025-08-05 07:20:06,0,ok
2025-08-04 08:27:44,1,sangat membantu sekali
2025-08-04 02:34:24,0,mantap lanjutkan dg kualitas aplikasinya yg lbh bagus ...
2025-08-02 08:15:24,0,good
2025-08-01 10:38:08,0,"tolong segera diperbaiki untuk menu Sambara, tahun kelahiran hanya sampai kelahiran 2000. bagaimana mau verifikasi klo gtu."
2025-08-01 09:11:01,1,"saya sudah bayar pajak motor melalui bca tapi tidak bisa klaim telah membayar, bukti uang keluar ada tapi aplikasi tidak merespon, sampah.."
2025-08-01 07:44:54,1,"Mekanisme di Samsat sama aja harus fotokopi, padahal sdh bayar online. Di loket E-Samsat msh ditanya kapan dibayar, aneh juga sistemnya kan sdh IT ??? Tolong dibenahi di Samsat Cinere. Unt lbh memudahkan... Beberapa prov. sdh tdk pake fotocopy cukup tunjukin doknya. valid, tinggal tunggu penyerahan stnk+bukti bayar aslinya. App Sapawarganya sdh Ok, keren."
2025-08-01 05:56:04,0,informasi yg mudah di akses dan sangat membantu
2025-07-31 03:16:16,0,baik
2025-07-31 02:10:01,0,LUARBIASA
2025-07-30 13:42:39,0,"ini gimana sih mau cek pajak ribet di suruh previkasi, giliran mau verifikasi wilayah kita yang gaada niat ga sih bikin apk"
2025-07-30 12:59:14,0,sangat membantu warga jabar
2025-07-29 21:07:28,6,"Udah tau tata cara nya semua buat bayar pajak motor online , tapi buat cetak dokumen e-skkp harus ke samsat + ktp asli. Sedangkan motor msh atas nama org. Jaman udah digital tapi msh setengah"" gini nanggung bgt. Bisa di kirim aja ga sih,psti di bayar biaya cetak/kirim stnk yg baru ."
2025-07-29 14:29:35,0,rekomendasi dipermudah
2025-07-29 05:46:14,0,"Lama banget akun verifikasi, data udah lengkap, bgmn itu sistem di pantau GK sich, aplikasi GK jelas keluar sendiri melulu"
2025-07-28 12:13:31,0,semoga lebih baik jabar
2025-07-28 11:46:49,0,semoga pemerintah Jawa Barat selalu amanah menjalini tugas tugas nya
2025-07-27 18:03:01,0,sangat mudah
2025-07-27 06:49:41,8,"maaf ini gimana suruh lengkapi data diri, nomor telpon sudah di masukan kenapa gak bisa di simpan dan juga kecamatan alamat yang sesuai ktp ko malah gak ada, hanya yang muncul beberapa kecamatan saja dan itu juga jauh dari tempat saya... coba untuk diperbaiki lagi aplikasinya biar lebih mudah untuk melengkapi data diri... terimakasih"
2025-07-27 04:54:04,0,lama banget lepas kepemilikan kendaraan ajh status nya udh mau 1 bln belum juga ada perubahan tahap ke tahap nya huhhfff
2025-07-26 13:44:26,0,mau lengkapi data ko tgl kelahiran paling kecil THN 2000 terus yg tahun kelahirannya 1990 gmn ya ?
2025-07-26 02:13:22,0,daftar apk cuma untuk yang lahir tahun 2000 ke atas dibwah nya gak bisa
2025-07-25 03:54:55,1,ga jelas baru mau daftar/login masa maaf ada kesalahan system terus....aplikasi apaan mau ngadu ke pemerintah aja susah nya nauzubillah ..
2025-07-25 03:11:11,0,sangat membantu dan bermanfaat
2025-07-23 12:56:59,0,membantu cek dan bayar pajak
2025-07-23 01:13:40,0,mantap jiwa oke sekali membantu sekali
2025-07-22 11:43:01,0,sangat membantu
2025-07-22 10:53:58,0,sangat bermanfaat utk info pajak dll kendaraan bermotor
2025-07-20 23:16:25,2,"aplikasi ga jelas kalo bayar di sini beda sama bayar langsung kalo langsung ga ada tuh denda denda, kalo di aplikasi ga jelas ini malah bayar denda aneh. 😌"
2025-07-20 23:13:38,0,ok
2025-07-20 15:46:38,0,bagus & mantaaaopo 👍👍👍 dpt diakses dengan mudah dan cepat
2025-07-20 10:02:20,0,sangat bermanfaat
2025-07-20 08:49:39,0,sering eror
2025-07-19 13:57:35,0,mantap sangat mempermudah bayar pajak kendaraan terimakasih
2025-07-19 11:42:41,0,sayangnya gak ada no rangka dan mesin
2025-07-19 02:41:57,0,Aplikasi adu domba warga dgn penguasa. Warga laporin pejabat dan pejabat yg dilaporin tahu dan handle laporan warga.Saran diapus aja aplikasi ini krn cuma arena baku pukul saja. Dan tahu kan siapa yg menang dan siapa yg kalah.
2025-07-18 14:52:25,0,okee
2025-07-18 02:56:33,0,"Blokir Kendaraan, Cukup Upload KTP dan Selfie Proses Cuman 2 Menit Langsung Lepas Kepemilikan Mantap Sapawarga 💪"
2025-07-18 02:29:15,0,"app na alus menbantu,cuma petugas lapangan pi ka keheleun, wing mayar pajak lewat app ieu,lancar,terus wing menta cetak ka samsat pajajaran lancar,tempo menta cap nu di stnk eh jawabana ""kang bayar pajakna lewat naon?? jawab lewat sapawarga, tiasa ninggal ktp na? jawab abi atos ngalih ka jateng, aduh kang pami akang bayarna langsung ka dieu mah ku abi mah di tolak pami teu aya ktpna,saur petugas cap janten akang kedah bbn we mumpung nuju aya bebas bea bbn, sae ku kituna mah,pira cap cing ath"
2025-07-16 12:50:26,0,sangat membantu
2025-07-16 07:35:16,3,"Aplikasi payah, ada fitur pembuatan akte kelahiran tapi suka tiba2 balik ke beranda .berulang kali ngisi form suka tiba tiba error."
2025-07-15 21:55:10,0,sangat berguna dan banyak manfaatnya aplikasi ini
2025-07-15 21:20:55,0,"Aplikasi tidak jelas ini, masa dibuka g ada tampilan sama sekali ngehang g ada apa²..."
2025-07-15 15:09:25,0,mantappp
2025-07-15 09:21:43,0,bisa cek pajak kendaraan bermotor
2025-07-15 02:03:58,0,berguna dan membantu sekali
2025-07-14 01:53:59,0,aman
2025-07-13 01:58:06,0,bagus .....
2025-07-13 01:20:34,0,sangat bermanfaat
2025-07-12 15:06:35,0,apk tololl ga jelas mlah di bilang gk punya ke daraan
2025-07-12 06:18:52,0,baik
2025-07-12 04:32:40,0,baik
2025-07-12 01:03:18,0,MANTAB APLIKASI NYA.KETIKA NGECEK BAYAR PAJAK...ANTISIPASI JUMLAH YG AKAN DIBAYARKAN SAYA SEBAGAI WAJIB PAJAK...LEBIH PERCAYA DIRI TIDAK ADA PUNGUTAN LAIN...SEMOGA BANGSA INI SEMAKIN MAJU DENGAN TRANFARANSI DINAS TERKAIT YV MENGURUS PERPAJAKAN DAN SEMOGA TIDAK ADA HAL HAL YG TIADAK DI INGINKAN...DEMI KELANCARAN DAN KEMAJUAN PEMBANGUNAN NEGERI INI....INSYA ALLAH INDONESIA SEMAKIN MAJU...Aamiin Aamin Aamiin yaa rabbal alamin
2025-07-11 13:09:18,0,ok
2025-07-11 07:42:59,0,telat update
2025-07-10 07:43:19,0,sangat membantu
2025-07-10 02:28:12,0,terimakasih
2025-07-10 00:45:55,0,mantap sangat membantu saya
2025-07-09 08:42:45,0,Selalu Log out tiba tiba
2025-07-09 08:14:58,0,login aja gak bisa ampun dh
2025-07-09 04:50:10,0,sangat membantu👍
2025-07-09 03:49:34,0,sangat membantu sekali
2025-07-09 03:40:25,0,"Yang Sambara aplikasi mati ga bisa konek ke server, malah di gabung jadi satu kesini suruh lengkapin data lagi, kenapa ga dijadiin SSO aja secara teknis, mau bayar pajak kendaraan aja di persulit, pantes banyak yg ga taat pajak klo begini ceritanya"
2025-07-09 03:16:16,0,"aplikasi nya sangat membantu, jdi lebih mudah membayar pajak"
2025-07-08 15:06:56,0,informasi dan berita nya sangat membantu
2025-07-08 05:45:14,0,ok
2025-07-08 04:27:22,0,Saya rasa semua daerah harus punya Super App seperti ini
2025-07-07 22:59:01,0,hampir sempurna dan Informatif
2025-07-07 14:39:29,0,"Hari hari log out account sendiri, padahal bukan m-banking"
2025-07-07 13:15:21,0,"Teu tiasa di buka apk na pak ,kumaha ini teh"
2025-07-07 11:52:57,0,Tertarik
2025-07-07 11:41:08,0,good
2025-07-06 15:27:36,0,bagus
2025-07-05 14:06:51,0,sangat bagus untuk mengetahui jumlah pajak kendraan yg akan di bayar dan info seputar kabupaten bandung
2025-07-05 14:02:15,0,informatif
2025-07-05 12:21:16,0,sangat membantu buat saya untuk mengetahui pajak kendaraan 🙏
2025-07-05 05:52:30,0,bagus
2025-07-05 04:00:28,0,"untuk perpanjangan pajak hanya pembayaran saja yg online,semua persyaratan sama seperti bayar tunai harus dengan foto copy berkas, katanya digital 🤭dan pencetan stnk hanya bisa di Samsat induk tidak bisa digerai . untuk e-Samsat saya rasa tidak memudahkan untuk menunaikan pajak tahunan.lebih mudah bayar tunai bisa di gerai Samsat. seharusnya dengan e-Samsat dapat lebih mudah sehingga wajib pajak yang sibuk dan jauh dari Samsat induk tidak malas membayar pajak. terima kasih"
2025-07-05 03:02:14,0,sangat membantu dalam kegiatan..makasih Devp..
2025-07-04 07:11:08,0,sangat membantu
2025-07-04 06:20:58,0,maantaap sangat membantu...👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
2025-07-04 04:36:34,0,membutuhkan penjelasan yg lebih akurat
2025-07-03 22:18:32,0,lumayan lah yah
2025-07-03 11:55:51,0,"Sangat membantu, cuma untuk reservasi kenapa baru ada di beberapa kabupaten saja. lengkapi semua kabupaten pak"
2025-07-03 05:02:49,0,kurang ga ada aplikasi pengaduan masarakatnya
2025-07-02 21:39:36,0,oke mantap trims
2025-07-02 17:38:33,0,Jagan cuma cek pajak aja coba sekalian cek pajak pindah nama dam mutasi bisa di cek di aplikasi jadi siap kan uang terukur dengan baik
2025-07-02 12:41:44,0,bagus
2025-07-02 11:16:03,0,good
2025-07-02 09:14:22,0,ok
2025-07-02 06:20:52,0,baik .cepet
2025-07-02 04:44:06,0,mudah diakses dan sangat membantu
2025-07-02 02:01:35,0,"Keren aplikasi nya menguji kesabaran, eror terusss. bayar pajak aja susahnya minta ampunn."
2025-07-02 01:55:18,0,ko nyari info pajak kendaraan keluar Mulu ya aneh nih
2025-07-02 01:25:34,1,tolong banget ini aplikasi di perhatikan lagi udah bagus cuma aneh aja tiba tiba ke home sendiri tolong lah sekelas provinsi masa aplikasinya begini
2025-07-01 23:01:00,0,"aplikasinya sering gangguan haduh, mau update data gangguan terus🥴"
2025-07-01 22:34:32,0,sering bermasalah saya baru bayar pajak tahunan kendaraan saya aja buktinya ga keluar gimana coba
2025-07-01 21:53:40,0,sangat membantu untuk masarakat
2025-07-01 16:09:22,0,ok
2025-07-01 13:20:03,0,aplikasi tolol cuma buat login aja susahnya minta ampun
2025-07-01 12:27:21,0,aplikasi dikit dikit keluar. padahal masih isi data. tulisannya perbaikan sistem. dr tahun kemarin gitu terus. ga ada perubahan
2025-07-01 11:33:17,0,susah di akses untuk cek kendaraan.
2025-07-01 11:21:26,0,ampas
2025-07-01 10:31:31,0,sangat membantu
2025-07-01 10:16:51,36,"Tolong diperbaiki lagi untuk aplikasinya, khususnya bagian IT agar diupgrade lagi skillnya. Hadeuh 🤦🤦🤦 untuk melengkapi biodata di opsi ADUAN warga kenapa susah sekali untuk mengisi kolom tanggal lahir, tolong di perbaiki lagi?!!"
2025-07-01 10:15:09,0,Kok aplikasi sapawarga nggak bisa di buka sambara kok nggak bisa di buka cek data kendaraan
2025-07-01 08:55:54,0,"sekarang sudah lumayan lancar, tapi kadang aplikasi kembali sendiri"
2025-07-01 08:02:49,0,bagus
2025-07-01 05:35:01,13,"nyoba bayar pajak tahunan STNK di aplikasi ini ternyata dibatalkan sepihak oleh aplikasi sapa warga padahal uang nya sudah saya transfer, minta bantuan ke hotline Jabar nya gk ada bantuan sama sekali malah saling oper kesana kesini. ya udah deh hilang 200k"
2025-07-01 04:55:26,0,Baik dan semoga selalu bermanfaat lagi berkah beuh
2025-07-01 04:05:43,0,Sangat membantu
2025-07-01 04:04:02,2,"Busuk bgt mau update data diri karena biar bisa ngurus pajak kendaraan motor malah ngga bisa, kacau aplikasi nya mendingan pakai sambara yg dulu, digabung gini malah ga beres"
2025-06-30 23:17:19,0,"untuk memasukkan plat nomor,gak bisa2"
2025-06-30 12:43:45,0,tidak bisa save data diri
2025-06-30 12:02:05,0,yamembantu inpormasi
2025-06-30 07:24:33,0,sangat membantu
2025-06-30 07:19:52,0,sangat membantu.
2025-06-30 06:17:27,0,good
2025-06-30 05:53:43,0,bagus
2025-06-30 03:02:13,0,"Jelek mau masukin data diri aja susahnya minta ampun, mening cari aja developer aplikasi yg lain"
2025-06-30 02:48:21,0,gak bisa simpen data diri woyyyy
2025-06-30 01:48:54,0,"tidak bisa melengkapi biodata, jadi mau menghapus data nama di stnk gk bisa diproses. mohon di bantu"
2025-06-29 23:22:03,0,akun sekelas pemerintah masukin data aja susah
2025-06-29 16:15:50,0,bagus aplikasi nya semangat
2025-06-29 08:24:54,0,error gbsa d buka sapawarga
2025-06-29 08:01:24,0,ok
2025-06-29 04:31:04,0,"aplikasi abal abal, masukin data aja eero code terus. Kya aplikasi masih development aja"
2025-06-29 02:54:53,9,"Saya hendak melakukan pelaporan jalan dan kondisi trotoar yang buruk melalui fitur ""Aduan"" dan diminta untuk melengkapi data, tapi setelah saya mengisi data, data tersebut tidak bisa disimpan. Otomatis saya tidak bisa mengakses fitur ""Aduan"" padahal saya butuh untuk penelitian skripsi saya. Sayang sekali, dengan fitur yang potensial ini tapi tidak dioptimalisasikan. Tolong segera diperbaiki, saya lihat, sudah banyak aduan yang sama juga di kolom ulasan."
2025-06-29 02:42:40,0,Bagus.
2025-06-29 01:46:40,0,bagus tapi pas daftar suka eror pdahal kuota nya masi banyak
2025-06-28 16:12:33,68,"mantap.tapi kekurangan nya untuk pajak 5 th,kalau bisa masuk online.klau tidak calo calo panen raya di Samsat saya istigfar melihat praktek gak sesuai"
2025-06-28 13:54:31,0,sangat membantu
2025-06-28 12:18:39,0,"gabisa update data diri udah di isi semua tapi gabisa di simpan. Abis abisin anggaran aja, bikin aplikasi jelek gini"
2025-06-28 10:46:04,0,bintang yang bicara
2025-06-28 07:14:35,0,Tidak bisa melengkapi profil.. Loading terus
2025-06-28 02:41:12,0,"apk yang tidak ramah,nyuruh melengkapi data,tapi malah berputar putar"
2025-06-28 02:35:52,0,Tidak bisa lengkapi data diri
2025-06-28 02:29:01,0,ok
2025-06-27 23:26:03,0,ok
2025-06-27 13:28:23,10,"menu sabara tidak bisa dibuka diminta lengkapi data setelah dilengkapi dan di validasi dan simpan, tetap aja data tdk bisa disimpan, sehingga menu bayar pajak kendaraan tdk bisa mohon petunjuknya"
2025-06-27 13:19:41,0,Najis bgt ga bisa melengkapi data aplikasi ga guna
2025-06-27 13:03:28,0,aplikasi rusak isi data ga ke simpen simpen
2025-06-27 08:25:15,0,pengisian kelengkapan data diri bolak balik ga bisa2. Aplikasinya butut
2025-06-27 05:34:50,0,Ngisi profil gaa kesimpen terus padahal jaringan bagus
2025-06-27 05:21:28,0,"top markotop, sangat membantu baarakallahu lakum"
2025-06-27 03:40:16,0,sangat membantu jadi mudah
2025-06-27 03:39:22,0,"mohon di perbaiki untuk perubahan data akun profil tidak bisa di simpan, saya sudah berulang kali mengisi data profil tidak bisa di simpan malah balik ke halaman perubahan data terus"
2025-06-27 02:36:45,0,Aplikasi nya bagus. Tapi untuk lepas kepemilikan sudah hampir 3 bulan masih menunggu verifikasi aja. tolong di percepat.
2025-06-27 01:04:22,0,min pas download e-skkp kok file nya gk muncul ya gimna min?
2025-06-26 17:52:32,32,"Sapa warga tolong atur ulang untuk penentuan tanggal lahir supaya lebih mudah, karna yang ada ribet harus scroll geser penentuan th lahir nya lama...."
2025-06-26 16:34:32,0,bagus ssuai
